2024-10-16 19:17:43,740 | INFO | root | Добавлена связь Word (2172) - Image ([68]): , (<Word_Image: 2232>, True)
2024-10-16 19:17:43,740 | INFO | root | Добавлено слово милая: милая, количество: 1
2024-10-16 19:17:43,798 | INFO | root | Добавлена связь Word (2173) - Image ([68]): , (<Word_Image: 2233>, True)
2024-10-16 19:17:43,798 | INFO | root | Добавлено слово добрая: добрая, количество: 1
2024-10-16 19:17:43,885 | INFO | root | Добавлена связь Word (2174) - Image ([68, 72]): , (<Word_Image: 2234>, True), (<Word_Image: 2235>, True)
2024-10-16 19:17:43,885 | INFO | root | Добавлено слово картинка: картинка, количество: 1
2024-10-16 19:17:43,985 | INFO | root | Добавлена связь Word (2175) - Image ([72]): , (<Word_Image: 2236>, True)
2024-10-16 19:17:43,985 | INFO | root | Добавлено слово которую: которую, количество: 1
2024-10-16 19:17:44,043 | INFO | root | Добавлена связь Word (2176) - Image ([72]): , (<Word_Image: 2237>, True)
2024-10-16 19:17:44,043 | INFO | root | Добавлено слово хочется: хочется, количество: 1
2024-10-16 19:17:44,188 | INFO | root | Добавлена связь Word (2177) - Image ([72]): , (<Word_Image: 2238>, True)
2024-10-16 19:17:44,188 | INFO | root | Добавлено слово удалить: удалить, количество: 1
2024-10-16 19:17:44,282 | INFO | root | Добавлена связь Word (2178) - Image ([78, 79]): , (<Word_Image: 2239>, True), (<Word_Image: 2240>, True)
2024-10-16 19:17:44,282 | INFO | root | Добавлено слово багажник: багажник, количество: 1
2024-10-16 19:17:44,474 | INFO | root | Добавлена связь Word (2179) - Image ([79]): , (<Word_Image: 2241>, True)
2024-10-16 19:17:44,474 | INFO | root | Добавлено слово автомобиля: автомобиля, количество: 1
2024-10-16 19:17:44,569 | INFO | root | Добавлена связь Word (2180) - Image ([80]): , (<Word_Image: 2242>, True)
2024-10-16 19:17:44,570 | INFO | root | Добавлено слово бражник: бражник, количество: 1
2024-10-16 19:17:44,628 | INFO | root | Добавлена связь Word (2181) - Image ([84]): , (<Word_Image: 2243>, True)
2024-10-16 19:17:44,628 | INFO | root | Добавлено слово работой: работой, количество: 1
2024-10-16 19:17:44,687 | INFO | root | Добавлена связь Word (2182) - Image ([86]): , (<Word_Image: 2244>, True)
2024-10-16 19:17:44,687 | INFO | root | Добавлено слово светлое: светлое, количество: 1
2024-10-16 19:17:44,766 | INFO | root | Добавлена связь Word (2183) - Image ([86]): , (<Word_Image: 2245>, True)
